"species","PC2_body","PC3_body"
"Abeillia_abeillei",-2.28441869850048,0.156169726147072
"Abroscopus_albogularis",0.583365279553159,0.0900444003913783
"Abroscopus_schisticeps",0.494914128653346,-0.176257485050727
"Abroscopus_superciliaris",0.574553887706812,0.0952891414912216
"Aburria_aburri",0.933183809299926,-1.2042013040992
"Acanthagenys_rufogularis",0.147563400404947,-0.924717428332904
"Acanthidops_bairdii",0.415934201177584,0.232038665770267
"Acanthisitta_chloris",0.499953324505791,1.6721443178719
"Acanthiza_apicalis",0.684918726242904,0.236721784373688
"Acanthiza_chrysorrhoa",0.300629185240016,0.689791413033381
"Acanthiza_ewingii",0.741819679453261,0.35782857148126
"Acanthiza_inornata",0.654633464131478,0.490655847601297
"Acanthiza_iredalei",0.527826387837886,0.37966973240284
"Acanthiza_katherina",0.371239042660112,0.445841989701738
"Acanthiza_lineata",0.232057200256052,0.576749757814964
"Acanthiza_murina",-0.0372519840643184,1.00989429826606
"Acanthiza_nana",0.298794739880173,0.616291125565162
"Acanthiza_pusilla",0.603514065761334,0.281398227736766
"Acanthiza_reguloides",0.436870666274408,0.377724767205346
"Acanthiza_robustirostris",0.604270594040587,0.502336552627255
"Acanthiza_uropygialis",0.462362838121122,0.560359110917017
"Acanthorhynchus_superciliosus",0.541833405484798,-0.0458271631569966
"Acanthorhynchus_tenuirostris",0.0462535937640188,-0.140059516514938
"Acanthornis_magna",0.671177063494708,0.366922605237373
"Accipiter_albogularis",0.307310422346678,0.131143579399802
"Accipiter_badius",0.0277400722325935,-0.144781865691385
"Accipiter_bicolor",0.766857323551428,-0.492020937631988
"Accipiter_brachyurus",0.468650767663554,0.424423103215491
"Accipiter_brevipes",-0.175409064200773,-0.0607226985005756
"Accipiter_butleri",0.523352488493912,0.108604480944724
"Accipiter_castanilius",0.748620360720971,0.0153571953746033
"Accipiter_chilensis",0.430971663542291,-0.24454070635269
"Accipiter_chionogaster",0.308451863278422,0.177172356510081
"Accipiter_cirrocephalus",0.263297618941671,0.263413616457238
"Accipiter_collaris",0.236007631484368,0.039297312938247
"Accipiter_cooperii",0.39323121332546,-0.157952328478307
"Accipiter_erythrauchen",0.561387778495064,0.0830364254918786
"Accipiter_erythronemius",0.267494188677159,0.0778817712644245
"Accipiter_erythropus",0.329259206767619,0.377566683406921
"Accipiter_fasciatus",0.347809924946331,-0.00651922383855384
"Accipiter_francesiae",0.517599653460309,0.057726796373098
"Accipiter_gentilis",0.117361098151868,-0.355575502516568
"Accipiter_griseiceps",0.490541199402611,0.0430307096311604
"Accipiter_gularis",0.0895289439157745,0.481166231551023
"Accipiter_gundlachi",0.879282465655592,-0.493898789481935
"Accipiter_haplochrous",0.292184146077401,0.226367059517623
"Accipiter_henicogrammus",0.545268739384496,-0.155236740494419
"Accipiter_henstii",0.718460571841823,-0.471962924050069
"Accipiter_imitator",0.30136095539074,-0.26689844193993
"Accipiter_luteoschistaceus",0.372338374068964,-0.00373351230190889
"Accipiter_madagascariensis",0.582054354435469,0.102440279837417
"Accipiter_melanochlamys",0.397297194683805,0.167095192515571
"Accipiter_melanoleucus",0.387775538043938,-0.0301480072537128
"Accipiter_meyerianus",0.380020363072155,0.188519666401261
"Accipiter_minullus",0.205995255422103,0.320756328642954
"Accipiter_nanus",0.377198248446893,0.419294799417259
"Accipiter_nisus",0.191569862617396,0.0376819538616384
"Accipiter_novaehollandiae",0.435260475207181,0.126930960619007
"Accipiter_ovampensis",-0.0742999673170106,0.00992014805181377
"Accipiter_poliocephalus",0.435226982561116,0.1571817799086
"Accipiter_poliogaster",0.193478086790004,-0.244674688052231
"Accipiter_princeps",0.503809735389477,-0.0326196762621775
"Accipiter_rhodogaster",0.468833531437014,0.360272842367533
"Accipiter_rufitorques",0.296938075127057,0.364316955178813
"Accipiter_rufiventris",0.120149618262044,-0.0451870996028606
"Accipiter_soloensis",-0.28775050519355,0.126933455399881
"Accipiter_striatus",0.2798066981363,-0.010091460898974
"Accipiter_superciliosus",0.20500248497233,0.11818147136387
"Accipiter_tachiro",0.675240187607904,-0.233961228534304
"Accipiter_toussenelii",0.810529643278393,0.0238763154142478
"Accipiter_trinotatus",0.51790254015404,0.0504442464331341
"Accipiter_trivirgatus",0.670063253999189,-0.273305317169379
"Accipiter_ventralis",0.368651264939804,0.295502981945061
"Accipiter_virgatus",0.464049967289796,0.243371676613747
"Aceros_cassidix",0.530415077022395,-1.01040619455876
"Aceros_comatus",2.1498877942522,-2.60378233997132
"Aceros_corrugatus",0.53902407320962,-1.12223464791137
"Aceros_everetti",0.316485106279318,-1.02524390022696
"Aceros_leucocephalus",0.2873151875035,-0.845241965290479
"Aceros_narcondami",-0.0264765479311561,-0.490376599254082
"Aceros_nipalensis",0.724189800660266,-1.85746424046045
"Aceros_plicatus",0.11217092628083,-0.736166242812518
"Aceros_subruficollis",-0.110153495929846,-0.596496395205296
"Aceros_undulatus",0.255826435776934,-1.29943246727754
"Aceros_waldeni",0.494452296892308,-1.04683392374899
"Achaetops_pycnopygius",1.6425939507163,-0.991100378912681
"Acridotheres_albocinctus",0.294309266934822,0.613310595305948
"Acridotheres_cinereus",0.312061450845493,0.615809394145713
"Acridotheres_cristatellus",0.309670341556703,0.688613372896091
"Acridotheres_fuscus",0.27651116028106,0.782037880741928
"Acridotheres_ginginianus",0.257471669687032,0.564203187964173
"Acridotheres_grandis",0.289843756494099,0.731322321042181
"Acridotheres_tristis",0.316192530813977,0.622016167797928
"Acrobatornis_fonsecai",0.0611754856900767,-0.184928662201987
