"species","PC1_body","PC2_body","PC3_body"
"Abeillia_abeillei",-1.45498498145335,-2.28441869850048,0.156169726147072
"Abroscopus_albogularis",-1.41481845753536,0.583365279553159,0.0900444003913783
"Abroscopus_schisticeps",-1.14781474697974,0.494914128653346,-0.176257485050727
"Abroscopus_superciliaris",-1.2000436662104,0.574553887706812,0.0952891414912216
"Aburria_aburri",2.07663697592337,0.933183809299926,-1.2042013040992
"Acanthagenys_rufogularis",0.303602458733878,0.147563400404947,-0.924717428332904
"Acanthidops_bairdii",-0.692095270347205,0.415934201177584,0.232038665770267
"Acanthisitta_chloris",-1.54763446050288,0.499953324505791,1.6721443178719
"Acanthiza_apicalis",-1.0927653932372,0.684918726242904,0.236721784373688
"Acanthiza_chrysorrhoa",-1.05653892863104,0.300629185240016,0.689791413033381
"Acanthiza_ewingii",-0.958193035050155,0.741819679453261,0.35782857148126
"Acanthiza_inornata",-1.32264128068054,0.654633464131478,0.490655847601297
"Acanthiza_iredalei",-1.22277291636667,0.527826387837886,0.37966973240284
"Acanthiza_katherina",-1.07544983462647,0.371239042660112,0.445841989701738
"Acanthiza_lineata",-1.14139097517214,0.232057200256052,0.576749757814964
"Acanthiza_murina",-1.02154130266805,-0.0372519840643184,1.00989429826606
"Acanthiza_nana",-1.19945719659635,0.298794739880173,0.616291125565162
"Acanthiza_pusilla",-1.08469631447322,0.603514065761334,0.281398227736766
"Acanthiza_reguloides",-1.20203895040353,0.436870666274408,0.377724767205346
"Acanthiza_robustirostris",-1.12651249580518,0.604270594040587,0.502336552627255
"Acanthiza_uropygialis",-1.1570067051242,0.462362838121122,0.560359110917017
"Acanthorhynchus_superciliosus",-0.781980860389028,0.541833405484798,-0.0458271631569966
"Acanthorhynchus_tenuirostris",-0.652222823078279,0.0462535937640188,-0.140059516514938
"Acanthornis_magna",-0.863896789973106,0.671177063494708,0.366922605237373
"Accipiter_albogularis",1.68151260503037,0.307310422346678,0.131143579399802
"Accipiter_badius",1.21478309830383,0.0277400722325935,-0.144781865691385
"Accipiter_bicolor",1.5412688967533,0.766857323551428,-0.492020937631988
"Accipiter_brachyurus",1.42693105507454,0.468650767663554,0.424423103215491
"Accipiter_brevipes",1.47540047675306,-0.175409064200773,-0.0607226985005756
"Accipiter_butleri",1.04757048807961,0.523352488493912,0.108604480944724
"Accipiter_castanilius",1.0805399943599,0.748620360720971,0.0153571953746033
"Accipiter_chilensis",1.63578729252605,0.430971663542291,-0.24454070635269
"Accipiter_chionogaster",1.25851985174703,0.308451863278422,0.177172356510081
"Accipiter_cirrocephalus",1.56676367857818,0.263297618941671,0.263413616457238
"Accipiter_collaris",1.02817317504786,0.236007631484368,0.039297312938247
"Accipiter_cooperii",1.73925497101353,0.39323121332546,-0.157952328478307
"Accipiter_erythrauchen",1.40906698211779,0.561387778495064,0.0830364254918786
"Accipiter_erythronemius",1.15833882110562,0.267494188677159,0.0778817712644245
"Accipiter_erythropus",0.834903252375056,0.329259206767619,0.377566683406921
"Accipiter_fasciatus",1.99532183459862,0.347809924946331,-0.00651922383855384
"Accipiter_francesiae",1.00985179873904,0.517599653460309,0.057726796373098
"Accipiter_gentilis",2.22170370458304,0.117361098151868,-0.355575502516568
"Accipiter_griseiceps",1.24315458154331,0.490541199402611,0.0430307096311604
"Accipiter_gularis",0.956870242082901,0.0895289439157745,0.481166231551023
"Accipiter_gundlachi",1.79583988840672,0.879282465655592,-0.493898789481935
"Accipiter_haplochrous",1.56916968325668,0.292184146077401,0.226367059517623
"Accipiter_henicogrammus",1.71792106933069,0.545268739384496,-0.155236740494419
"Accipiter_henstii",2.06970500816503,0.718460571841823,-0.471962924050069
"Accipiter_imitator",1.37836294668575,0.30136095539074,-0.26689844193993
"Accipiter_luteoschistaceus",1.29464386153117,0.372338374068964,-0.00373351230190889
"Accipiter_madagascariensis",1.35681524607707,0.582054354435469,0.102440279837417
"Accipiter_melanochlamys",1.63339824328246,0.397297194683805,0.167095192515571
"Accipiter_melanoleucus",2.12708171694317,0.387775538043938,-0.0301480072537128
"Accipiter_meyerianus",2.07489355819539,0.380020363072155,0.188519666401261
"Accipiter_minullus",0.828746469981463,0.205995255422103,0.320756328642954
"Accipiter_nanus",0.911171225247794,0.377198248446893,0.419294799417259
"Accipiter_nisus",1.47384695184444,0.191569862617396,0.0376819538616384
"Accipiter_novaehollandiae",1.62447305908182,0.435260475207181,0.126930960619007
"Accipiter_ovampensis",1.51614034893128,-0.0742999673170106,0.00992014805181377
"Accipiter_poliocephalus",1.51641894042423,0.435226982561116,0.1571817799086
"Accipiter_poliogaster",1.60263244195559,0.193478086790004,-0.244674688052231
"Accipiter_princeps",1.84801919424445,0.503809735389477,-0.0326196762621775
"Accipiter_rhodogaster",1.15681812450058,0.468833531437014,0.360272842367533
"Accipiter_rufitorques",1.51024155643911,0.296938075127057,0.364316955178813
"Accipiter_rufiventris",1.57317851098949,0.120149618262044,-0.0451870996028606
"Accipiter_soloensis",1.15413467125312,-0.28775050519355,0.126933455399881
"Accipiter_striatus",1.27540136742341,0.2798066981363,-0.010091460898974
"Accipiter_superciliosus",0.726159975824373,0.20500248497233,0.11818147136387
"Accipiter_tachiro",1.57174318242705,0.675240187607904,-0.233961228534304
"Accipiter_toussenelii",1.37499560738113,0.810529643278393,0.0238763154142478
"Accipiter_trinotatus",1.0402209533421,0.51790254015404,0.0504442464331341
"Accipiter_trivirgatus",1.46694702592565,0.670063253999189,-0.273305317169379
"Accipiter_ventralis",1.16612264215903,0.368651264939804,0.295502981945061
