"species","distCent","distAR1","distAR2","distAR3","distMinAR"
"Aplonis_magna",1.73769595960708,5.37269412290601,3.31401157533459,3.6385760235522,3.31401157533459
"Aplonis_metallica",0.801617184817125,4.40126905325308,4.2190569153705,3.16389382956099,3.16389382956099
"Aplonis_minor",0.761583638629818,3.40078944490116,4.97757993242754,3.41774114358631,3.40078944490116
"Aplonis_mysolensis",0.506602347933207,4.15262086585007,4.11205276615616,3.44786048788571,3.44786048788571
"Aplonis_mystacea",0.626095997993659,4.23346597949772,4.21587778472402,3.28702776479717,3.28702776479717
"Aplonis_opaca",0.141129445698495,3.56877238966355,4.17554329771278,3.92513940237904,3.56877238966355
"Aplonis_panayensis",0.754181248166413,3.23704572790138,4.96417484157886,3.59130695582496,3.23704572790138
"Aplonis_pelzelni",0.415273831524872,3.2552780357393,4.36627002298918,4.07635204288543,3.2552780357393
"Aplonis_santovestris",0.807851114966648,2.86367291078527,4.58003518735327,4.33609278291254,2.86367291078527
"Aplonis_striata",0.138835151749218,3.58917001472266,4.35674818593824,3.72365704341886,3.58917001472266
"Aplonis_tabuensis",0.516224130968215,3.14514749045806,4.47788362076109,4.0914242404682,3.14514749045806
"Aplonis_zelandica",0.542230928241694,3.12630765131239,4.44195996789161,4.15102078908385,3.12630765131239
"Aplopelia_larvata",0.428230510865067,3.82130073022389,4.50989332881604,3.3676138146751,3.3676138146751
"Aprosmictus_erythropterus",1.75431427756564,5.0773233084873,4.93051872301983,2.15840104232158,2.15840104232158
"Aprosmictus_jonquillaceus",1.98328479819053,5.50219753141569,4.56032895200634,2.37744486395741,2.37744486395741
"Aptenodytes_forsteri",2.15113512655084,4.44694061914368,2.41087986132308,5.66136489345153,2.41087986132308
"Aptenodytes_patagonicus",2.39803069015736,2.96942820987043,3.92175922995716,6.17696363110096,2.96942820987043
"Apus_acuticauda",2.2795275057777,4.26572034562743,6.31208884771641,2.19663251726362,2.19663251726362
"Apus_affinis",2.71727824525995,4.10716858048364,6.84649720506048,2.51374593678732,2.51374593678732
"Apus_alexandri",2.88900031185545,4.91529419858945,6.7584801788197,1.62520683798355,1.62520683798355
"Apus_apus",3.04757675402879,5.29715645163803,6.74883000777652,1.21207018972175,1.21207018972175
"Apus_balstoni",2.65106872745945,4.92617885619021,6.44623849655583,1.5357592859478,1.5357592859478
"Apus_barbatus",2.56240673799944,4.82890472459561,6.38810441296047,1.63002815663094,1.63002815663094
"Apus_batesi",2.54233331920021,4.87172614912843,6.33678023772372,1.58439121400996,1.58439121400996
"Apus_berliozi",2.3914007389095,4.53722479108953,6.32800421671587,1.92218644814635,1.92218644814635
"Apus_bradfieldi",2.50760848814358,4.66888611171682,6.40536857591088,1.79520465013448,1.79520465013448
"Apus_caffer",2.59500098424717,5.07636552221098,6.27226558126726,1.38515295096339,1.38515295096339
"Apus_horus",2.79610937944323,4.83733150405267,6.68036706188852,1.68010584337718,1.68010584337718
"Apus_niansae",2.4522321345314,4.56647873400195,6.38766293238571,1.89803786584502,1.89803786584502
"Apus_nipalensis",2.56561777093067,4.1681707068425,6.66463298518136,2.37614937581372,2.37614937581372
"Apus_pacificus",2.47128134262572,4.61663808570462,6.38672109462364,1.84660761132666,1.84660761132666
"Apus_pallidus",2.65195641848128,4.88168275825107,6.47332888738079,1.58492090361239,1.58492090361239
"Apus_sladeniae",2.43093060944099,4.67615669287384,6.30630894672554,1.78044226636096,1.78044226636096
"Apus_toulsoni",2.69835783639811,4.3983967904305,6.74415834832228,2.16588953721328,2.16588953721328
"Apus_unicolor",2.57375566731528,4.86300071824222,6.38292213287998,1.59500845133824,1.59500845133824
"Aquila_adalberti",0.159707174755224,3.50175765710505,4.31375959015659,3.85522425577347,3.50175765710505
"Aquila_africanus",0.862630883882192,4.27553282269294,3.37436282116834,4.14710466993065,3.37436282116834
"Aquila_audax",0.429235791338001,4.05358154238954,3.87333198288672,3.77235132420056,3.77235132420056
"Aquila_chrysaetos",0.146396163212135,3.5501605919931,4.19472904156688,3.92489401713949,3.5501605919931
"Aquila_clanga",0.353856094764557,3.32545534717483,4.30751914678935,4.05649179326002,3.32545534717483
"Aquila_fasciatus",0.282773800369711,3.40886922435936,4.24745808814832,4.02484287582719,3.40886922435936
"Aquila_gurneyi",0.598601390495741,4.13205990690318,3.65722588903239,3.94138148143064,3.65722588903239
"Aquila_hastata",0.754820296688718,2.91367163370813,4.71606504068574,4.13802557044172,2.91367163370813
"Aquila_heliaca",0.0911508886204311,3.75106079095448,4.1831800077525,3.73205697736179,3.73205697736179
"Aquila_nipalensis",0.302403682974431,3.36533254696982,4.42641337362537,3.89188174436603,3.36533254696982
"Aquila_pomarina",0.711471426395563,2.9499549722007,4.64047154762532,4.16534780704447,2.9499549722007
"Aquila_rapax",0.329731248551661,3.35882179809646,4.48521787080618,3.84352997370933,3.35882179809646
"Aquila_verreauxii",0.670274953096547,4.07256605967734,3.54940002492303,4.12387374300227,3.54940002492303
"Aquila_wahlbergi",0.314713202129684,3.47155725534878,4.5292688249955,3.68611878267598,3.47155725534878
"Ara_ambiguus",2.75743369559604,6.39747421637124,4.13551171626151,2.94466362269456,2.94466362269456
"Ara_ararauna",3.33995616597144,6.99565364001434,4.08141280452788,3.34263176224939,3.34263176224939
"Ara_chloropterus",3.09362875105058,6.72899799313279,4.28332449701362,2.96777948713617,2.96777948713617
"Ara_glaucogularis",3.3990286842998,7.05243538270443,4.15188379009374,3.31548726370102,3.31548726370102
"Ara_macao",3.61293215643293,7.26791603344489,4.20145983422795,3.43774310387751,3.43774310387751
"Ara_militaris",2.80480331114747,6.39603962126098,4.50056238423943,2.57582345423718,2.57582345423718
"Ara_rubrogenys",2.6977258026503,6.31274558497248,4.32394644667349,2.7209332543219,2.7209332543219
"Ara_severus",2.6556128267298,6.23454115274891,4.51567651560755,2.49810445629442,2.49810445629442
"Arachnothera_affinis",0.328103945353108,3.37348306831546,4.49909592039256,3.81511222993413,3.37348306831546
"Arachnothera_chrysogenys",0.9540120125359,2.75557759114851,4.94942209599726,4.12681684916471,2.75557759114851
"Arachnothera_clarae",0.862142766864843,2.87311641979484,4.43598513382704,4.49189747273779,2.87311641979484
"Arachnothera_crassirostris",0.550795355787528,3.21385805061205,4.71671071210493,3.79780299986461,3.21385805061205
