"species","PC2_beak","PC3_beak"
"Abeillia_abeillei",1.62328363545504,1.76023372260668
"Abroscopus_albogularis",-0.49891270016093,-0.700071622335499
"Abroscopus_schisticeps",-0.455541816911973,-0.525238330451664
"Abroscopus_superciliaris",-0.0531457986587711,-0.585155590652936
"Aburria_aburri",0.285162855736203,-0.560766523620705
"Acanthagenys_rufogularis",1.06580327510304,0.8499008030516
"Acanthidops_bairdii",-0.200574734486502,0.918723089859568
"Acanthisitta_chloris",0.416209701804437,-0.38396960464765
"Acanthiza_apicalis",0.128162352370562,0.718186481020404
"Acanthiza_chrysorrhoa",0.37101296318818,0.763242719126995
"Acanthiza_ewingii",0.262677306906565,1.24124871381309
"Acanthiza_inornata",0.110506516806263,0.662405828511308
"Acanthiza_iredalei",-0.0990905825999826,0.686638553172983
"Acanthiza_katherina",0.139293017492209,0.307955894375338
"Acanthiza_lineata",-0.148208149735032,1.25395516619154
"Acanthiza_murina",0.0195540148187929,0.756309921108121
"Acanthiza_nana",-0.0904771314365604,1.10348736555981
"Acanthiza_pusilla",0.226666629400933,0.930794697835544
"Acanthiza_reguloides",0.128162352370562,0.718186481020404
"Acanthiza_robustirostris",-0.220145663356478,0.683673687099416
"Acanthiza_uropygialis",0.15885616774684,0.670047176074129
"Acanthorhynchus_superciliosus",1.91891117563099,0.692842030779633
"Acanthorhynchus_tenuirostris",2.2693885855782,0.523544507456518
"Acanthornis_magna",0.787629777461776,0.907211243161422
"Accipiter_albogularis",-0.92328333589226,0.375913053796182
"Accipiter_badius",-1.23738139187118,0.316266132436085
"Accipiter_bicolor",-0.794862109324671,0.690686270301571
"Accipiter_brachyurus",-1.05271066553323,0.354241778629429
"Accipiter_brevipes",-1.12479259588801,0.185017457421498
"Accipiter_butleri",-1.01106797044551,1.79247364238575
"Accipiter_castanilius",-1.1265175892337,0.33327809500206
"Accipiter_chilensis",-0.846041169395367,0.808648539554079
"Accipiter_chionogaster",-1.20296198791197,0.344540142925116
"Accipiter_cirrocephalus",-1.09020001587102,0.171609112070793
"Accipiter_collaris",-1.23723781943601,0.210141632239763
"Accipiter_cooperii",-0.803193611229358,0.91794634537685
"Accipiter_erythrauchen",-1.11954812732408,0.275281861839223
"Accipiter_erythronemius",-1.0001087716338,0.304149465016066
"Accipiter_erythropus",-1.23056083723345,0.496624990187424
"Accipiter_fasciatus",-0.945370996556792,0.253170262515522
"Accipiter_francesiae",-1.20085710319792,0.0418088382337379
"Accipiter_gentilis",-0.718326334209076,0.755685344242625
"Accipiter_griseiceps",-0.904894725257766,0.564000225046099
"Accipiter_gularis",-0.381262622212043,0.635668897900229
"Accipiter_gundlachi",-0.893156478639101,1.94208363516185
"Accipiter_haplochrous",-1.10278178361819,0.419502479432886
"Accipiter_henicogrammus",-0.768602465117608,0.326346867483866
"Accipiter_henstii",-0.780169855876009,0.495754606097922
"Accipiter_imitator",-0.700971668540431,0.327494706149763
"Accipiter_madagascariensis",-0.961387224666589,0.265402703347819
"Accipiter_melanochlamys",-1.08364402112705,-0.0139154304690497
"Accipiter_melanoleucus",-0.817076515367535,0.921122340145824
"Accipiter_meyerianus",-0.748133230927742,0.500735058833061
"Accipiter_minullus",-1.21389298594171,0.553950222810097
"Accipiter_nanus",-1.33821594117782,0.453966570964766
"Accipiter_nisus",-1.1752475536322,-0.0677060587091059
"Accipiter_novaehollandiae",-0.827317678940297,0.531174125541217
"Accipiter_ovampensis",-0.959280707125137,0.571057228067905
"Accipiter_poliocephalus",-1.06096813058888,0.327884168171287
"Accipiter_poliogaster",-0.503386814039381,1.23903603237962
"Accipiter_princeps",-0.915310295475153,-0.094070588107957
"Accipiter_rhodogaster",-1.06149235482179,0.524368117558994
