"species","distCent","distAR1","distAR3","distAR2","distMinAR"
"Abeillia_abeillei",2.39554181561709,4.13760277445502,6.69447456040315,1.91710467922122,1.91710467922122
"Abroscopus_albogularis",0.858592507924417,3.29452011680253,3.83998209440707,4.44602609429465,3.29452011680253
"Abroscopus_schisticeps",0.69419077626377,3.18573455591507,4.01653399872489,4.33138367033126,3.18573455591507
"Abroscopus_superciliaris",0.586708942916751,3.50153927726762,3.9965238179894,3.99696464719784,3.50153927726762
"Aburria_aburri",0.628730642040626,3.73064223078923,4.08442514924738,3.6890299253732,3.6890299253732
"Acanthagenys_rufogularis",1.36424461077614,3.7307072180817,5.65310643063126,2.45295549176902,2.45295549176902
"Acanthidops_bairdii",0.94098347431307,2.51397840682462,5.47419820074974,3.69874446057227,2.51397840682462
"Acanthisitta_chloris",0.56626759365341,3.71835629353927,4.28737330644017,3.48825089839251,3.48825089839251
"Acanthiza_apicalis",0.730440770412397,2.89563101395788,5.31235447883038,3.39930649606303,2.89563101395788
"Acanthiza_chrysorrhoa",0.849670595348564,3.10171409604895,5.39747024562952,3.1523473631364,3.10171409604895
"Acanthiza_ewingii",1.26966487435506,2.85337468739644,5.84973166895258,3.2177452944804,2.85337468739644
"Acanthiza_inornata",0.672462181887087,2.90303897828289,5.25460100605399,3.4263873358135,2.90303897828289
"Acanthiza_iredalei",0.694433628467127,2.70417751304097,5.25255899223227,3.62864768942088,2.70417751304097
"Acanthiza_katherina",0.339014884322969,3.0964738339325,4.90866545535675,3.48034911883627,3.0964738339325
"Acanthiza_lineata",1.26338612744329,2.45232662981131,5.81264175647901,3.62847403115789,2.45232662981131
"Acanthiza_murina",0.757374607014743,2.78096796651047,5.33539702831525,3.50050615587424,2.78096796651047
"Acanthiza_nana",1.10792185139601,2.55139779579606,5.66813336557971,3.57515411840246,2.55139779579606
"Acanthiza_pusilla",0.958938466890597,2.90752074548025,5.53747145336277,3.27253327509133,2.90752074548025
"Acanthiza_reguloides",0.730440770412397,2.89563101395788,5.31235447883038,3.39930649606303,2.89563101395788
"Acanthiza_robustirostris",0.71877683547988,2.598147581867,5.23833562768635,3.74858046953207,2.598147581867
"Acanthiza_uropygialis",0.689559983175674,2.94356191279545,5.26934918858157,3.37745372704791,2.94356191279545
"Acanthorhynchus_superciliosus",2.04111094694976,4.59423465447812,5.82598220869103,1.66920249280972,1.66920249280972
"Acanthorhynchus_tenuirostris",2.32988131923474,4.97751096018494,5.84140573597523,1.42945600171705,1.42945600171705
"Acanthornis_magna",1.20248728358747,3.44778596522713,5.63047617791492,2.71867205895784,2.71867205895784
"Accipiter_albogularis",0.996504345527995,2.20695244589769,4.92077503633786,4.49597158074185,2.20695244589769
"Accipiter_badius",1.27665379205565,2.03907213261488,4.88907535527541,4.81564669598666,2.03907213261488
"Accipiter_bicolor",1.05299433429577,2.10465821786091,5.22990533054996,4.31590423905806,2.10465821786091
"Accipiter_brachyurus",1.11028060903767,2.13145656573539,4.90811106858921,4.62711178282451,2.13145656573539
"Accipiter_brevipes",1.13932124256003,2.21190342659548,4.74618164419885,4.73412603265146,2.21190342659548
"Accipiter_butleri",2.0582998060911,1.5050569542225,6.34003370528589,4.51997135467823,1.5050569542225
"Accipiter_castanilius",1.17431337324281,2.09732699342844,4.8938833796689,4.70362847410577,2.09732699342844
"Accipiter_chilensis",1.17036523115593,1.99578781366647,5.34947198028758,4.35216098581992,1.99578781366647
"Accipiter_chionogaster",1.25085097518328,2.03899586596395,4.91313779858177,4.77629538607105,2.03899586596395
"Accipiter_cirrocephalus",1.10303115190262,2.24411513680212,4.72948183898538,4.70363559455128,2.24411513680212
"Accipiter_collaris",1.25437503236011,2.12304316603415,4.78372414939495,4.83793740139334,2.12304316603415
"Accipiter_cooperii",1.21985148852049,1.97467684405114,5.45731008043802,4.29890348097472,1.97467684405114
"Accipiter_erythrauchen",1.1523809940331,2.14573291205532,4.8354837617528,4.70887781678894,2.14573291205532
"Accipiter_erythronemius",1.04487192630596,2.20398419770481,4.85409242463367,4.58602826845596,2.20398419770481
"Accipiter_erythropus",1.32661986933105,1.90619120898558,5.06737704094017,4.77596138951422,1.90619120898558
"Accipiter_fasciatus",0.978188594815831,2.27863095612904,4.79954707913253,4.5438548428311,2.27863095612904
"Accipiter_francesiae",1.20088771562684,2.28064719041517,4.6122177122911,4.84287001304877,2.28064719041517
"Accipiter_gentilis",1.04269408776442,2.1317130083786,5.29330956770616,4.23150984845917,2.1317130083786
"Accipiter_griseiceps",1.0660740682238,2.09484959092484,5.10762075610555,4.44366388815285,2.09484959092484
"Accipiter_gularis",0.741547429050004,2.48148819223488,5.17970032119869,3.91536200039163,2.48148819223488
"Accipiter_gundlachi",2.13803732338425,1.6188754146975,6.48387634823907,4.42262533866258,1.6188754146975
"Accipiter_haplochrous",1.1794816362313,2.04962317857833,4.9774771200207,4.66364474917658,2.04962317857833
"Accipiter_henicogrammus",0.834659179367369,2.35378437328304,4.86499866532868,4.3552099924079,2.35378437328304
"Accipiter_henstii",0.924171791755092,2.23447528459491,5.03464644151245,4.33251770234406,2.23447528459491
"Accipiter_imitator",0.773380828105202,2.40354232795033,4.86494019947475,4.28900217648075,2.40354232795033
"Accipiter_madagascariensis",0.996860865986593,2.25873958785928,4.8127723564994,4.55670695142043,2.25873958785928
"Accipiter_melanochlamys",1.082998236329,2.39446928816442,4.54416984032522,4.74460326279104,2.39446928816442
"Accipiter_melanoleucus",1.23140467810645,1.96107738877091,5.46089692335682,4.3124683037609,1.96107738877091
"Accipiter_meyerianus",0.90008286808655,2.25628139492439,5.03888693249042,4.30010960735203,2.25628139492439
"Accipiter_minullus",1.33398503184431,1.87563523928473,5.12245843442949,4.75038209843298,1.87563523928473
"Accipiter_nanus",1.41268809212598,1.86857198595709,5.03861869863472,4.88923375563288,1.86857198595709
"Accipiter_nisus",1.17642674834106,2.38535469698953,4.50043954830209,4.84749753239679,2.38535469698953
"Accipiter_novaehollandiae",0.982977189270985,2.17555358634901,5.07150168477348,4.37265582004026,2.17555358634901
"Accipiter_ovampensis",1.11617262894461,2.04881889593347,5.1176884562501,4.49621752295683,2.04881889593347
"Accipiter_poliocephalus",1.11001966694263,2.14515458218266,4.88253512997028,4.64055686269205,2.14515458218266
"Accipiter_poliogaster",1.33785088406335,2.11681200310228,5.77800410823247,3.98378031113625,2.11681200310228
"Accipiter_princeps",0.919329331956784,2.56069085153653,4.45111900713752,4.60624769016908,2.56069085153653
"Accipiter_rhodogaster",1.18364737965516,2.00444320827563,5.07838494210315,4.6046325084697,2.00444320827563
"Accipiter_rufitorques",1.01158370541123,2.26780483510148,4.77982334628925,4.58799867640661,2.26780483510148
"Accipiter_rufiventris",1.03758286154998,2.22746408162417,4.82015765531283,4.59564596522974,2.22746408162417
"Accipiter_soloensis",0.612118872602212,3.01509071689903,4.19519388401309,4.30694065077902,3.01509071689903
"Accipiter_striatus",1.27742718307778,2.33052571850571,4.51302504859453,4.94480589928086,2.33052571850571
"Accipiter_superciliosus",1.50250165578128,1.71599694689335,5.68863082192383,4.45858148794732,1.71599694689335
"Accipiter_tachiro",1.7519853168428,1.98086010825999,4.74624936210428,5.36785513260781,1.98086010825999
"Accipiter_toussenelii",0.907207543448628,2.36556918368681,4.73088311393735,4.50364006671712,2.36556918368681
"Accipiter_trinotatus",1.23565569124923,2.08776682551962,4.84982439814909,4.79015856383269,2.08776682551962
"Accipiter_trivirgatus",0.583640679882039,2.59235138966581,4.76600132083827,4.15439425046722,2.59235138966581
"Accipiter_ventralis",1.2813828871599,1.87652086351532,5.38034775170052,4.47626503973838,1.87652086351532
"Accipiter_virgatus",0.996343303180786,2.17734842571051,5.00698624185906,4.43819596756256,2.17734842571051
"Aceros_cassidix",1.72352654648305,4.87514353384513,3.91976058815346,3.25717316810593,3.25717316810593
"Aceros_comatus",0.785365333254306,3.55088195310034,5.0889993148003,2.93489194446972,2.93489194446972
"Aceros_corrugatus",1.03427146574268,3.14099924657406,5.57067925851271,3.03206630424069,3.03206630424069
"Aceros_everetti",1.42182593469048,4.4891972190404,3.54562362370501,3.77615019339303,3.54562362370501
"Aceros_leucocephalus",1.06082907987836,4.17806046924731,3.88013111217529,3.58526208233285,3.58526208233285
"Aceros_narcondami",1.62880566748325,4.58283475612554,3.19406810971032,4.12042937664475,3.19406810971032
"Aceros_nipalensis",0.934943355335839,3.9429523721474,4.79722513463017,2.85492784669907,2.85492784669907
"Aceros_plicatus",0.635884296888815,3.67769480070919,4.71963126433922,3.11917090125168,3.11917090125168
"Aceros_subruficollis",1.85108937956991,4.88312072107463,3.23388709755137,3.96292286383806,3.23388709755137
"Aceros_undulatus",0.985820288471049,4.13844455160885,4.25301327465335,3.22777694502723,3.22777694502723
"Aceros_waldeni",0.901957290017517,3.11853257085358,5.44467952257378,3.11206479406079,3.11206479406079
"Achaetops_pycnopygius",1.2639508673324,3.27619359966487,5.7651074718709,2.82995452901006,2.82995452901006
"Acridotheres_albocinctus",0.53604724744268,3.36235136752479,4.95987663575929,3.19291358339415,3.19291358339415
"Acridotheres_cinereus",0.273597036152788,3.42776828651033,4.45658080801438,3.56966823532623,3.42776828651033
"Acridotheres_cristatellus",0.536230443719102,3.04784740677186,5.10647847763177,3.38087405046461,3.04784740677186
"Acridotheres_fuscus",0.354960881249551,3.49402236017211,4.33034456667535,3.63564744677933,3.49402236017211
"Acridotheres_ginginianus",0.310655028585069,3.20970811041819,4.83509219304081,3.43110830349418,3.20970811041819
"Acridotheres_grandis",0.181513219800269,3.1987514509658,4.71928818523075,3.54005542085549,3.1987514509658
"Acridotheres_tristis",0.258800570888513,3.12158728253944,4.82697078009658,3.52239306159407,3.12158728253944
"Acrobatornis_fonsecai",0.907345320636668,2.25410391595462,5.15951938860536,4.19283764517332,2.25410391595462
"Acrocephalus_aedon",0.365170336245729,3.20970910179392,4.25031199096878,4.00432972365929,3.20970910179392
"Acrocephalus_aequinoctialis",0.984057376186376,4.05893306942285,4.64178148222336,2.91161667804929,2.91161667804929
"Acrocephalus_agricola",0.764999770145318,3.76869390203084,3.87429524328463,3.89120072512454,3.76869390203084
"Acrocephalus_arundinaceus",0.401845513082849,3.50815414335285,4.60555343439375,3.35912079331586,3.35912079331586
"Acrocephalus_atyphus",0.969157166787176,4.09341212400781,4.46834779498637,3.04846897952422,3.04846897952422
"Acrocephalus_australis",0.576095907592271,3.65147114229714,4.65555054513127,3.19555524838694,3.19555524838694
"Acrocephalus_baeticatus",1.16381177185983,4.27106145273063,4.52667946055231,2.8903572100738,2.8903572100738
"Acrocephalus_bistrigiceps",0.795300497094016,3.84421259011776,3.89534615020949,3.80430007119692,3.80430007119692
"Acrocephalus_brevipennis",1.09161061366253,4.19354907045538,3.81515427133338,3.64525150420913,3.64525150420913
"Acrocephalus_caffer",1.42720365012483,4.5403803023358,4.49357181978976,2.79293126749919,2.79293126749919
"Acrocephalus_concinens",0.756297821254076,3.73451269548755,3.8643509238174,3.93270675710265,3.73451269548755
"Acrocephalus_dumetorum",0.992524082210604,4.05250008713377,3.77871599172416,3.77750693548399,3.77750693548399
"Acrocephalus_familiaris",0.489206609245605,3.6198713141536,4.52331707032714,3.34035158446963,3.34035158446963
"Acrocephalus_gracilirostris",0.607189958619627,3.75586358215084,4.40449806849482,3.34401901385902,3.34401901385902
